"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"15-19 years"	"15-19"	38707
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"20-24 years"	"20-24"	101394
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"25-29 years"	"25-29"	128583
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"30-34 years"	"30-34"	144456
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"35-39 years"	"35-39"	77447
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"40-44 years"	"40-44"	16728
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"45-49 years"	"45-49"	988
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"50 years and over"	"50+"	43
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"Under 15 years"	"15"	1810
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"15-19 years"	"15-19"	79430
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"20-24 years"	"20-24"	153764
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"25-29 years"	"25-29"	176090
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"30-34 years"	"30-34"	146245
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"35-39 years"	"35-39"	57987
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"40-44 years"	"40-44"	9179
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"45-49 years"	"45-49"	327
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"50 years and over"	"50+"	0
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"Under 15 years"	"15"	1562
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"15-19 years"	"15-19"	77431
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"20-24 years"	"20-24"	148479
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"25-29 years"	"25-29"	177076
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"30-34 years"	"30-34"	144414
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"35-39 years"	"35-39"	59661
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"40-44 years"	"40-44"	9902
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"45-49 years"	"45-49"	353
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"50 years and over"	"50+"	0
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"Under 15 years"	"15"	1447
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"15-19 years"	"15-19"	75988
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"20-24 years"	"20-24"	147143
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"25-29 years"	"25-29"	176764
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"30-34 years"	"30-34"	142957
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"35-39 years"	"35-39"	61566
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"40-44 years"	"40-44"	10210
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"45-49 years"	"45-49"	450
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"50 years and over"	"50+"	18
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"Under 15 years"	"15"	1338
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"15-19 years"	"15-19"	75516
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"20-24 years"	"20-24"	149602
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"25-29 years"	"25-29"	177711
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"30-34 years"	"30-34"	143289
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"35-39 years"	"35-39"	62619
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"40-44 years"	"40-44"	11078
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"45-49 years"	"45-49"	448
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"50 years and over"	"50+"	19
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"Under 15 years"	"15"	1302
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"15-19 years"	"15-19"	73057
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"20-24 years"	"20-24"	152113
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"25-29 years"	"25-29"	176411
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"30-34 years"	"30-34"	143503
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"35-39 years"	"35-39"	64285
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"40-44 years"	"40-44"	11280
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"45-49 years"	"45-49"	527
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"50 years and over"	"50+"	20
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"Under 15 years"	"15"	1148
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"15-19 years"	"15-19"	71114
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"20-24 years"	"20-24"	158259
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"25-29 years"	"25-29"	176176
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"30-34 years"	"30-34"	147615
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"35-39 years"	"35-39"	66458
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"40-44 years"	"40-44"	12351
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"45-49 years"	"45-49"	547
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"50 years and over"	"50+"	36
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"Under 15 years"	"15"	1051
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"15-19 years"	"15-19"	67133
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"20-24 years"	"20-24"	156280
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"25-29 years"	"25-29"	170057
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"30-34 years"	"30-34"	150593
