"Notes","Division","Division Code","Year","Year Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2015","2015",20,14727584,0.001357996
,"Division 1: New England","CENS-D1","2016","2016",39,14735525,0.002646665
,"Division 1: New England","CENS-D1","2017","2017",31,14810001,0.002093180
,"Division 1: New England","CENS-D1","2018","2018",24,14853290,0.001615804
,"Division 1: New England","CENS-D1","2019","2019",22,14845063,0.001481974
,"Division 1: New England","CENS-D1","2020","2020",38,14847468,0.002559359
,"Division 2: Middle Atlantic","CENS-D2","1999","1999",54,39506122,0.001366877
,"Division 2: Middle Atlantic","CENS-D2","2000","2000",43,39671861,0.001083892
,"Division 2: Middle Atlantic","CENS-D2","2001","2001",63,39874479,0.001579958
,"Division 2: Middle Atlantic","CENS-D2","2002","2002",44,40021474,0.001099410
,"Division 2: Middle Atlantic","CENS-D2","2003","2003",87,40151999,0.002166766
,"Division 2: Middle Atlantic","CENS-D2","2004","2004",132,40216850,0.003282206
,"Division 2: Middle Atlantic","CENS-D2","2005","2005",94,40234574,0.002336299
,"Division 2: Middle Atlantic","CENS-D2","2006","2006",128,40277119,0.003177983
,"Division 2: Middle Atlantic","CENS-D2","2007","2007",127,40374157,0.003145576
,"Division 2: Middle Atlantic","CENS-D2","2008","2008",129,40535811,0.003182371
,"Division 2: Middle Atlantic","CENS-D2","2009","2009",146,40729526,0.003584623
,"Division 2: Middle Atlantic","CENS-D2","2010","2010",131,40872375,0.003205099
,"Division 2: Middle Atlantic","CENS-D2","2011","2011",135,41029238,0.003290337
,"Division 2: Middle Atlantic","CENS-D2","2012","2012",124,41198387,0.003009827
,"Division 2: Middle Atlantic","CENS-D2","2013","2013",155,41324267,0.003750823
,"Division 2: Middle Atlantic","CENS-D2","2014","2014",151,41471611,0.003641045
,"Division 2: Middle Atlantic","CENS-D2","2015","2015",135,41556307,0.003248604
,"Division 2: Middle Atlantic","CENS-D2","2016","2016",149,41473985,0.003592613
,"Division 2: Middle Atlantic","CENS-D2","2017","2017",131,41660580,0.003144459
,"Division 2: Middle Atlantic","CENS-D2","2018","2018",130,41257789,0.003150920
,"Division 2: Middle Atlantic","CENS-D2","2019","2019",152,41137740,0.003694904
,"Division 2: Middle Atlantic","CENS-D2","2020","2020",131,41002401,0.003194935
,"Division 3: East North Central","CENS-D3","1999","1999",52,44969225,0.001156346
,"Division 3: East North Central","CENS-D3","2000","2000",58,45155037,0.001284464
,"Division 3: East North Central","CENS-D3","2001","2001",42,45401564,0.000925078
,"Division 3: East North Central","CENS-D3","2002","2002",42,45550284,0.000922058
,"Division 3: East North Central","CENS-D3","2003","2003",57,45707787,0.001247052
,"Division 3: East North Central","CENS-D3","2004","2004",96,45844372,0.002094041
,"Division 3: East North Central","CENS-D3","2005","2005",100,45949142,0.002176319
,"Division 3: East North Central","CENS-D3","2006","2006",94,46071573,0.002040304
,"Division 3: East North Central","CENS-D3","2007","2007",118,46187992,0.002554777
,"Division 3: East North Central","CENS-D3","2008","2008",110,46275120,0.002377087
,"Division 3: East North Central","CENS-D3","2009","2009",155,46355854,0.003343699
,"Division 3: East North Central","CENS-D3","2010","2010",142,46421564,0.003058923
,"Division 3: East North Central","CENS-D3","2011","2011",171,46519084,0.003675911
,"Division 3: East North Central","CENS-D3","2012","2012",148,46566572,0.003178245
,"Division 3: East North Central","CENS-D3","2013","2013",140,46662180,0.003000288
,"Division 3: East North Central","CENS-D3","2014","2014",137,46739039,0.002931168
,"Division 3: East North Central","CENS-D3","2015","2015",165,46787011,0.003526620
,"Division 3: East North Central","CENS-D3","2016","2016",169,46755973,0.003614512
,"Division 3: East North Central","CENS-D3","2017","2017",157,46885244,0.003348601
,"Division 3: East North Central","CENS-D3","2018","2018",111,46931883,0.002365130
,"Division 3: East North Central","CENS-D3","2019","2019",147,46902431,0.003134166
,"Division 3: East North Central","CENS-D3","2020","2020",167,46834910,0.003565716
,"Division 4: West North Central","CENS-D4","1999","1999",24,19130836,0.001254519
,"Division 4: West North Central","CENS-D4","2000","2000",25,19237739,0.001299529
,"Division 4: West North Central","CENS-D4","2001","2001",22,19374967,0.001135486
,"Division 4: West North Central","CENS-D4","2002","2002",20,19468009,0.001027326
,"Division 4: West North Central","CENS-D4","2003","2003",19,19569167,Unreliable
,"Division 4: West North Central","CENS-D4","2004","2004",19,19687933,Unreliable
,"Division 4: West North Central","CENS-D4","2005","2005",40,19802730,0.002019924
,"Division 4: West North Central","CENS-D4","2006","2006",37,19956982,0.001853988
,"Division 4: West North Central","CENS-D4","2007","2007",37,20105697,0.001840274
,"Division 4: West North Central","CENS-D4","2008","2008",50,20248815,0.002469280
,"Division 4: West North Central","CENS-D4","2009","2009",57,20392583,0.002795134
,"Division 4: West North Central","CENS-D4","2010","2010",41,20505437,0.001999470
,"Division 4: West North Central","CENS-D4","2011","2011",60,20639751,0.002907012
,"Division 4: West North Central","CENS-D4","2012","2012",78,20749725,0.003759086
,"Division 4: West North Central","CENS-D4","2013","2013",79,20885710,0.003782491
,"Division 4: West North Central","CENS-D4","2014","2014",74,21006069,0.003522791
,"Division 4: West North Central","CENS-D4","2015","2015",66,21120392,0.003124942
,"Division 4: West North Central","CENS-D4","2016","2016",79,21185456,0.003728973
,"Division 4: West North Central","CENS-D4","2017","2017",79,21294107,0.003709947
,"Division 4: West North Central","CENS-D4","2018","2018",65,21376861,0.003040671
,"Division 4: West North Central","CENS-D4","2019","2019",58,21426573,0.002706919
,"Division 4: West North Central","CENS-D4","2020","2020",89,21481834,0.004143036
,"Division 5: South Atlantic","CENS-D5","1999","1999",107,51141114,0.002092250
,"Division 5: South Atlantic","CENS-D5","2000","2000",106,51769160,0.002047551
,"Division 5: South Atlantic","CENS-D5","2001","2001",100,52753858,0.001895596
,"Division 5: South Atlantic","CENS-D5","2002","2002",89,53543625,0.001662196
,"Division 5: South Atlantic","CENS-D5","2003","2003",123,54261722,0.002266791
,"Division 5: South Atlantic","CENS-D5","2004","2004",98,55186148,0.001775808
,"Division 5: South Atlantic","CENS-D5","2005","2005",164,56145779,0.002920968
,"Division 5: South Atlantic","CENS-D5","2006","2006",126,57156873,0.002204459
,"Division 5: South Atlantic","CENS-D5","2007","2007",154,57964590,0.002656794
,"Division 5: South Atlantic","CENS-D5","2008","2008",138,58693474,0.002351198
