State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
Indiana,2016,50,2601446,261159,871593,593507,298523,250387,618473,896523,1270232,869743,367459,6291795,3365716,1023177.664,1097223.416,2120401.08,959229.0599999999,83091,292,71738,4388.0,5349,931,35448,30758,9452,1988,1381,191,572,3592,51504,17559,525
Indiana,2017,40,2600916,257797,934195,572495,324364,282313,599371,866960,1251087,893148,363158,6347371,3380666,980393.1399999999,1139284.442,2119677.582,1068290.456,82170,291,71066,4254.0,5137,960,35142,31012,9547,2001,1387,206,504,3555,51863,16929,483
Indiana,2018,23,2598777,247265,980209,570527,340301,285865,593592,872975,1262931,943609,346823,6446615,3395905,974624.7349999999,1161399.51,2136024.245,1032355.12,81646,353,70078,4743.0,5132,656,35303,31318,9483,2091,1354,213,538,3701,52092,16520,389
Indiana,2019,33,2603063,221771,1047368,532051,390490,342214,578938,842883,1252629,881331,328430,6416903,3412312,982745.8560000001,1218195.384,2200941.24,1091939.84,80859,369,69009,5109.0,5033,698,35180,30945,9382,1939,1348,177,477,3783,53888,14983,307
Maryland,2011,24,2409500,171834,987426,357712,467090,470549,373656,550595,913482,716351,249994,5264250,3008077,899415.0229999999,839253.4829999999,1738668.5059999998,836245.4060000001,73093,342,64660,1972.0,5211,658,30091,24244,8689,1962,1331,6522,663,3233,43467,16509,278
Maryland,2012,20,2418372,172497,1015341,351972,503907,494482,352752,566221,911886,714822,248645,5333563,3035272,916652.144,871123.0639999999,1787775.2079999999,780064.904,72883,216,63586,2000.0,6056,733,29704,25913,9041,2021,1591,2697,587,3213,43936,16031,228
Maryland,2013,15,2420425,153600,1011793,337849,489663,539775,365526,540437,906588,739127,259630,5345754,3035272,937899.048,874158.3360000001,1812057.3839999998,822558.712,71953,176,61771,2091.0,6990,763,29045,23987,8558,2002,1635,5560,585,3098,43667,15821,225
Maryland,2014,22,2430188,153873,1021840,321031,538453,550525,365786,558721,883050,716863,242773,5352934,3080374,927192.574,964157.062,1891349.6360000004,733129.0120000001,73921,110,63587,2050.0,7377,462,29372,21310,7589,2058,1667,5475,572,3323,44272,16517,209
Maryland,2015,16,2431264,148335,1034666,315190,563471,584953,358898,534564,893527,731935,229876,5398335,3094053,962250.483,922027.794,1884278.2770000002,804453.78,73616,94,62586,1999.0,7846,781,29522,21554,7498,2071,1606,5111,578,3204,44396,16233,237
Maryland,2016,13,2423578,135162,1061389,314340,569143,648419,335335,516541,862144,739690,244839,5429216,3098674,873826.068,976082.31,1849908.378,814951.262,73136,114,61835,2422.0,8253,466,29006,21744,7314,2020,1581,5009,550,3167,44322,15889,180
Maryland,2017,25,2424859,138722,1076672,296246,605799,699753,346564,524549,839763,716565,227378,5466983,3116355,909975.6599999999,1006582.6649999998,1916558.325,866346.6900000001,71641,127,60107,2580.0,8219,570,28352,21888,7159,1869,1411,3376,581,3213,43661,14924,181
Maryland,2018,17,2406718,138446,1078810,290166,607974,781279,304027,509353,833716,726345,227153,5501303,3112368,936822.7679999999,1030193.8080000001,1967016.5760000001,781204.368,71080,141,59165,2529.0,8487,744,27895,22837,6963,1597,1410,3308,549,3194,43627,14888,160
Maryland,2019,22,2394913,124856,1110411,270565,622677,844356,309747,464170,807916,716029,231115,5504853,3117667,891652.7620000001,1075595.115,1967247.877,776299.083,70178,72,58429,2273.0,8523,761,28398,23060,6792,1748,1325,3109,488,3193,44232,14044,160
Michigan,2011,33,3957642,510676,1125998,1051637,360938,299565,1001409,1355338,1777371,1172827,711613,9362320,5027510,1523335.53,1543445.57,3066781.1,1256877.5,114008,93,86207,19892.0,7156,339,48238,39906,11491,1866,1213,3162,811,5097,66581,26976,520
Michigan,2012,29,3938508,488186,1160936,1027260,376481,323611,1005970,1372802,1808486,1182885,715238,9460051,5031931,1489451.5760000001,1539770.886,3029222.462,1263014.681,113091,82,84573,20389.0,7275,350,47795,38961,11208,1963,1311,3022,853,5093,66905,25721,536
Michigan,2013,35,3922571,462377,1200375,981159,404848,353353,998723,1363075,1803184,1200571,703237,9474755,5031931,1474355.7829999998,1605185.989,3079541.772,1257982.75,113489,91,84034,21033.0,7411,440,48129,39310,11721,2227,1422,2915,866,4912,67231,25804,463
Michigan,2014,29,3907979,446057,1250289,970897,434236,389467,976993,1347231,1809499,1209547,648522,9484109,5044620,1473029.0399999998,1543653.72,3016682.76,1372136.6400000001,114375,396,83077,22282.0,7759,458,47817,34647,10235,2111,1313,2424,793,5130,67101,26401,499
Michigan,2015,27,3890678,428048,1296658,939204,475824,425535,951636,1337675,1822829,1226212,637048,9538867,5045509,1503561.682,1543925.754,3047487.4360000007,1372378.448,113312,403,81934,22198.0,7772,577,47532,33962,9925,1971,1367,2829,803,5048,66719,25655,498
Michigan,2016,40,3867723,415629,1385941,915906,507140,488714,926892,1302825,1794384,1241195,610500,9587740,5045080,1508478.92,1644696.08,3153175.0,1296585.56,113315,59,81472,22011.0,8264,588,46500,34529,9620,1949,1223,3190,788,5124,67267,25028,457
Michigan,2017,24,3855050,391374,1448063,871644,564977,529457,893365,1331081,1809242,1294796,578622,9716784,5055069,1511465.631,1678282.908,3189748.539,1465970.01,111426,61,78823,22089.0,8841,644,45775,34896,9048,1879,1183,3395,798,5110,66799,24226,426
Michigan,2018,32,3845165,385462,1494354,831178,611577,576420,881137,1277144,1813970,1314430,583081,9764402,5069099,1470038.71,1753908.2540000002,3223946.964,1317965.74,110032,136,77025,22201.0,9115,689,44882,34916,9492,2027,1233,2857,671,5069,67027,23295,395
Michigan,2019,34,3817169,348584,1552373,781371,651307,637574,872790,1239462,1815085,1345063,525295,9764951,5070952,1531427.504,1881323.192,3412750.6959999995,1313376.568,107886,297,75160,21627.0,9525,760,44205,34337,8744,2005,1539,2582,749,5064,67445,22092,326
Missouri,2011,17,2392894,313462,655220,658807,211859,179444,649768,888762,1122383,725115,422163,5826952,3064932,913349.7359999999,940934.124,1854283.8599999999,879635.4839999999,76117,240,62552,10120.0,2472,396,30508,23236,7662,1292,818,4063,447,3161,48323,15916,275
Missouri,2012,34,2386342,334393,661712,652169,214863,180529,658011,859622,1133355,721805,426669,5842473,3068397,945066.276,908245.5120000001,1853311.7880000002,843809.175,75446,272,61589,10286.0,2329,406,30303,22946,7550,1373,905,4292,494,3175,48108,15577,289
Missouri,2013,30,2385487,310382,684789,633681,235488,200989,634608,872417,1155689,720071,414215,5859689,3068397,868356.3510000001,926655.894,1795012.2449999999,877561.5420000001,75296,247,61283,10361.0,2489,387,30372,23083,7590,1511,1023,3562,471,3258,47576,16019,301
Missouri,2014,34,2383585,288946,720580,598791,246766,213183,632628,833501,1135003,748956,413881,5834333,3093076,903178.1919999999,934108.9519999999,1837287.1439999999,828944.368,75360,197,60281,11242.0,2552,502,30292,18605,6685,1657,1057,2970,464,3357,47708,15878,297
Missouri,2015,33,2381059,284311,784563,596569,263346,242186,617954,842696,1130093,759844,360092,5885374,3100027,883507.695,967208.424,1850716.119,843207.344,75061,150,59583,11540.0,2519,613,30345,20328,6639,1532,980,3130,491,3346,47489,15789,282
Missouri,2016,27,2371098,268730,803751,562738,290650,264706,592092,838377,1133831,783561,347269,5883515,3098349,879931.1159999999,972881.586,1852812.7019999998,802472.3910000001,74705,21,58931,11414.0,2956,514,29753,22561,6493,1505,1040,4088,488,3412,47514,15397,277
Missouri,2017,28,2365964,245920,854106,566817,306338,284419,562230,826921,1128183,797544,334041,5908532,3110838,930140.5619999999,1042130.7300000001,1972271.2920000001,930140.5619999999,73034,25,56683,11838.0,3231,422,29156,22293,6695,1550,1004,4355,486,3424,46761,14653,262
Missouri,2018,24,2360212,255454,876443,545645,327564,343161,589913,839881,1124709,799449,332019,6029114,3123287,808931.333,1115013.459,1923944.792,887013.5079999999,73269,25,56484,12033.0,3456,360,29511,22220,6811,1620,1166,3823,437,3546,48395,13688,235
Missouri,2019,16,2353586,238596,960984,525844,363358,354189,531983,797378,1141195,831015,334738,6077228,3129259,873063.2609999999,1082723.614,1955786.875,988845.844,72127,23,55077,12165.0,3675,282,29122,22542,6417,1596,1181,2359,466,3484,48994,12430,223
New Jersey,2011,48,3556262,274597,1428258,627509,693199,749883,600129,850507,1278804,1049888,391342,7942575,4522613,1379396.965,985929.634,2365326.599,1297989.9309999999,105883,142,87664,10281.0,7564,217,37967,0,0,0,0,0,785,4760,7926,25044,20765
New Jersey,2012,36,3558973,279625,1445801,577247,756042,778774,608265,827585,1283801,1055242,401968,8023616,4543154,1362946.2,1040382.266,2403328.466,1226651.58,104230,299,86793,9811.0,7191,238,37645,0,0,0,0,0,743,974,7913,24243,20054
New Jersey,2013,57,3555129,285781,1425496,595690,724467,872480,556604,820774,1265553,1020736,392543,7961751,4543154,1353859.892,1131245.346,2485105.2380000004,1367489.354,102575,397,85315,9429.0,7437,226,36510,0,0,0,0,0,687,955,7856,23905,19656
