Notes	Census Division	Census Division Code	Year	Year Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Deaths	Population	Crude Rate
	Division 4: West North Central	CENS-D4	2014	2014	25-34 years	25-34	25	1377612	1.8
	Division 4: West North Central	CENS-D4	2014	2014	35-44 years	35-44	24	1243274	1.9
	Division 4: West North Central	CENS-D4	2014	2014	45-54 years	45-54	12	1399019	Unreliable
	Division 4: West North Central	CENS-D4	2014	2014	55-64 years	55-64	0	1377110	Unreliable
	Division 4: West North Central	CENS-D4	2015	2015	5-14 years	14-May	0	1360014	Unreliable
	Division 4: West North Central	CENS-D4	2015	2015	25-34 years	25-34	28	1378504	2
	Division 4: West North Central	CENS-D4	2015	2015	35-44 years	35-44	14	1250517	Unreliable
	Division 4: West North Central	CENS-D4	2015	2015	45-54 years	45-54	17	1370495	Unreliable
	Division 4: West North Central	CENS-D4	2015	2015	55-64 years	55-64	0	1403071	Unreliable
	Division 4: West North Central	CENS-D4	2016	2016	5-14 years	14-May	0	1358136	Unreliable
	Division 4: West North Central	CENS-D4	2016	2016	15-24 years	15-24	14	1412343	Unreliable
	Division 4: West North Central	CENS-D4	2016	2016	25-34 years	25-34	31	1381091	2.2
	Division 4: West North Central	CENS-D4	2016	2016	35-44 years	35-44	22	1254129	1.8
	Division 4: West North Central	CENS-D4	2016	2016	45-54 years	45-54	12	1340656	Unreliable
	Division 4: West North Central	CENS-D4	2016	2016	55-64 years	55-64	0	1421245	Unreliable
	Division 4: West North Central	CENS-D4	2017	2017	5-14 years	14-May	0	1363283	Unreliable
	Division 4: West North Central	CENS-D4	2017	2017	15-24 years	15-24	15	1402105	Unreliable
	Division 4: West North Central	CENS-D4	2017	2017	25-34 years	25-34	39	1388535	2.8
	Division 4: West North Central	CENS-D4	2017	2017	35-44 years	35-44	16	1274153	Unreliable
	Division 4: West North Central	CENS-D4	2017	2017	55-64 years	55-64	0	1434042	Unreliable
	Division 4: West North Central	CENS-D4	2018	2018	5-14 years	14-May	0	1365796	Unreliable
	Division 4: West North Central	CENS-D4	2018	2018	15-24 years	15-24	10	1397262	Unreliable
	Division 4: West North Central	CENS-D4	2018	2018	25-34 years	25-34	29	1391296	2.1
	Division 4: West North Central	CENS-D4	2018	2018	35-44 years	35-44	25	1296107	1.9
	Division 4: West North Central	CENS-D4	2018	2018	55-64 years	55-64	0	1440993	Unreliable
	Division 4: West North Central	CENS-D4	2019	2019	5-14 years	14-May	0	1365861	Unreliable
	Division 4: West North Central	CENS-D4	2019	2019	25-34 years	25-34	30	1390725	2.2
	Division 4: West North Central	CENS-D4	2019	2019	35-44 years	35-44	19	1317073	Unreliable
	Division 4: West North Central	CENS-D4	2019	2019	55-64 years	55-64	0	1439132	Unreliable
	Division 4: West North Central	CENS-D4	2020	2020	15-24 years	15-24	14	1392362	Unreliable
	Division 4: West North Central	CENS-D4	2020	2020	25-34 years	25-34	40	1388516	2.9
	Division 4: West North Central	CENS-D4	2020	2020	35-44 years	35-44	33	1337185	2.5
	Division 4: West North Central	CENS-D4	2020	2020	55-64 years	55-64	0	1428309	Unreliable
	Division 4: West North Central	CENS-D4	2021	2021	5-14 years	14-May	0	1390278	Unreliable
	Division 4: West North Central	CENS-D4	2021	2021	15-24 years	15-24	17	1414931	Unreliable
	Division 4: West North Central	CENS-D4	2021	2021	25-34 years	25-34	46	1377113	3.3
	Division 4: West North Central	CENS-D4	2021	2021	35-44 years	35-44	40	1371263	2.9
	Division 4: West North Central	CENS-D4	2021	2021	55-64 years	55-64	0	1412019	Unreliable
	Division 4: West North Central	CENS-D4	2022	2022	5-14 years	14-May	0	1363491	Unreliable
	Division 4: West North Central	CENS-D4	2022	2022	25-34 years	25-34	42	1362077	3.1
	Division 4: West North Central	CENS-D4	2022	2022	35-44 years	35-44	23	1370738	1.7
	Division 4: West North Central	CENS-D4	2022	2022	55-64 years	55-64	0	1371555	Unreliable
	Division 4: West North Central	CENS-D4	2023	2023	5-14 years	14-May	0	1370736	Unreliable
	Division 4: West North Central	CENS-D4	2023	2023	25-34 years	25-34	40	1371324	2.9
	Division 4: West North Central	CENS-D4	2023	2023	35-44 years	35-44	23	1395034	1.6
	Division 4: West North Central	CENS-D4	2023	2023	55-64 years	55-64	0	1351597	Unreliable
	Division 5: South Atlantic	CENS-D5	2010	2010	15-24 years	15-24	26	4026764	0.6
	Division 5: South Atlantic	CENS-D5	2010	2010	25-34 years	25-34	75	3908990	1.9
	Division 5: South Atlantic	CENS-D5	2010	2010	35-44 years	35-44	50	4105521	1.2
	Division 5: South Atlantic	CENS-D5	2011	2011	5-14 years	14-May	0	3737544	Unreliable
	Division 5: South Atlantic	CENS-D5	2011	2011	15-24 years	15-24	37	4043152	0.9
	Division 5: South Atlantic	CENS-D5	2011	2011	25-34 years	25-34	80	3979036	2
	Division 5: South Atlantic	CENS-D5	2011	2011	35-44 years	35-44	53	4056990	1.3
	Division 5: South Atlantic	CENS-D5	2011	2011	55-64 years	55-64	0	3955738	Unreliable
	Division 5: South Atlantic	CENS-D5	2012	2012	5-14 years	14-May	0	3767736	Unreliable
	Division 5: South Atlantic	CENS-D5	2012	2012	15-24 years	15-24	34	4067950	0.8
	Division 5: South Atlantic	CENS-D5	2012	2012	25-34 years	25-34	72	4037159	1.8
	Division 5: South Atlantic	CENS-D5	2012	2012	35-44 years	35-44	51	4049334	1.3
	Division 5: South Atlantic	CENS-D5	2012	2012	45-54 years	45-54	12	4471768	Unreliable
	Division 5: South Atlantic	CENS-D5	2013	2013	5-14 years	14-May	0	3788273	Unreliable
	Division 5: South Atlantic	CENS-D5	2013	2013	15-24 years	15-24	45	4062434	1.1
	Division 5: South Atlantic	CENS-D5	2013	2013	25-34 years	25-34	92	4089837	2.2
	Division 5: South Atlantic	CENS-D5	2013	2013	35-44 years	35-44	66	4046135	1.6
	Division 5: South Atlantic	CENS-D5	2013	2013	45-54 years	45-54	31	4449991	0.7
	Division 5: South Atlantic	CENS-D5	2014	2014	5-14 years	14-May	0	3806238	Unreliable
	Division 5: South Atlantic	CENS-D5	2014	2014	15-24 years	15-24	35	4069150	0.9
	Division 5: South Atlantic	CENS-D5	2014	2014	25-34 years	25-34	105	4172818	2.5
	Division 5: South Atlantic	CENS-D5	2014	2014	35-44 years	35-44	79	4056879	1.9
	Division 5: South Atlantic	CENS-D5	2014	2014	45-54 years	45-54	53	4437724	1.2
	Division 5: South Atlantic	CENS-D5	2015	2015	5-14 years	14-May	0	3815258	Unreliable
	Division 5: South Atlantic	CENS-D5	2015	2015	15-24 years	15-24	40	4064783	1
	Division 5: South Atlantic	CENS-D5	2015	2015	25-34 years	25-34	104	4247654	2.4
	Division 5: South Atlantic	CENS-D5	2015	2015	35-44 years	35-44	80	4072594	2
	Division 5: South Atlantic	CENS-D5	2015	2015	45-54 years	45-54	61	4439599	1.4
	Division 5: South Atlantic	CENS-D5	2015	2015	55-64 years	55-64	0	4255738	Unreliable
	Division 5: South Atlantic	CENS-D5	2016	2016	5-14 years	14-May	0	3824636	Unreliable
	Division 5: South Atlantic	CENS-D5	2016	2016	15-24 years	15-24	27	4043981	0.7
	Division 5: South Atlantic	CENS-D5	2016	2016	25-34 years	25-34	109	4308331	2.5
	Division 5: South Atlantic	CENS-D5	2016	2016	35-44 years	35-44	75	4068584	1.8
	Division 5: South Atlantic	CENS-D5	2016	2016	45-54 years	45-54	43	4441201	1
	Division 5: South Atlantic	CENS-D5	2017	2017	5-14 years	14-May	0	3842976	Unreliable
	Division 5: South Atlantic	CENS-D5	2017	2017	15-24 years	15-24	36	4037498	0.9
	Division 5: South Atlantic	CENS-D5	2017	2017	25-34 years	25-34	105	4374719	2.4
	Division 5: South Atlantic	CENS-D5	2017	2017	35-44 years	35-44	77	4109257	1.9
	Division 5: South Atlantic	CENS-D5	2017	2017	45-54 years	45-54	36	4431752	0.8
	Division 5: South Atlantic	CENS-D5	2017	2017	55-64 years	55-64	0	4427156	Unreliable
	Division 5: South Atlantic	CENS-D5	2018	2018	5-14 years	14-May	0	3859717	Unreliable
	Division 5: South Atlantic	CENS-D5	2018	2018	15-24 years	15-24	35	4042008	0.9
