Division,Year,    Male:        6 to 17 years:            No health insurance coverage,    Male:        18 to 24 years:            No health insurance coverage,    Male:        25 to 34 years:            No health insurance coverage,    Male:        35 to 44 years:            No health insurance coverage,    Male:        45 to 54 years:            No health insurance coverage,    Male:        55 to 64 years:            No health insurance coverage,    Male:        65 to 74 years:            No health insurance coverage,    Male:        75 years and over:            No health insurance coverage,    Female:        Under 6 years:            No health insurance coverage,    Female:        6 to 17 years:            No health insurance coverage,    Female:        18 to 24 years:            No health insurance coverage,    Female:        25 to 34 years:            No health insurance coverage,    Female:        35 to 44 years:            No health insurance coverage,    Female:        45 to 54 years:            No health insurance coverage,    Female:        55 to 64 years:            No health insurance coverage,    Female:        65 to 74 years:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Male:        Under 6 years:            With health insurance coverage,    Male:        6 to 17 years:            With health insurance coverage,    Male:        18 to 24 years:            With health insurance coverage,    Male:        25 to 34 years:            With health insurance coverage,    Male:        35 to 44 years:            With health insurance coverage,    Male:        45 to 54 years:            With health insurance coverage,    Male:        55 to 64 years:            With health insurance coverage,    Male:        65 to 74 years:            With health insurance coverage,    Male:        75 years and over:            With health insurance coverage,    Female:        Under 6 years:            With health insurance coverage,    Female:        6 to 17 years:            With health insurance coverage,    Female:        18 to 24 years:            With health insurance coverage,    Female:        25 to 34 years:            With health insurance coverage,    Female:        35 to 44 years:            With health insurance coverage,    Female:        45 to 54 years:            With health insurance coverage,    Female:        55 to 64 years:            With health insurance coverage,    Female:        65 to 74 years:            With health insurance coverage,    Female:        75 years and over:            With health insurance coverage
West South Central Division!!Estimate,2014,"122,825","356,665","609,719","850,387","635,872","512,928","300,533","19,765","7,499","123,250","355,059","517,681","738,407","622,810","498,837","333,249","28,015","12,412","1,551,684","3,013,484","1,309,117","1,758,237","1,782,942","1,854,921","1,785,815","1,266,352","754,550","1,466,183","2,884,129","1,369,284","1,945,188","1,923,979","1,984,550","1,924,469",,
Mountain Division!!Estimate,2014,"65,854","175,487","261,550","404,074","299,418","231,849","148,683","12,504","4,087","65,340","170,494","201,556","287,711","244,634","213,362","159,614","14,529","5,894","893,613","1,795,086","881,580","1,172,183","1,155,526","1,181,576","1,187,175","905,460","556,971","841,134","1,713,634","910,929","1,276,039","1,210,259","1,237,531","1,273,684",,
Pacific Division!!Estimate,2014,"81,303","250,177","537,583","912,646","638,401","513,545","318,162","28,650","9,390","79,166","231,208","406,378","626,377","514,579","463,559","323,142","38,548","13,759","1,952,958","3,882,810","2,059,209","2,821,025","2,724,403","2,890,235","2,676,103","1,820,257","1,172,094","1,871,219","3,738,668","2,106,372","3,051,143","2,904,749","3,019,695","2,881,640",,
New England Division!!Estimate,2015,"8,695","26,951","59,157","115,222","71,815","67,798","41,334","2,134","1,179","10,655","24,635","44,660","65,227","46,107","46,835","38,667","4,407","1,299","460,474","1,036,902","675,239","809,996","782,165","968,648","944,894","617,684","381,068","438,576","988,433","683,035","885,974","855,539","1,056,866","1,019,976","700,676","563,624"
Middle Atlantic Division!!Estimate,2015,"46,744","105,952","235,473","496,864","353,674","277,946","165,064","18,036","3,751","42,558","94,347","166,917","302,054","245,081","218,026","152,594","19,698","8,892","1,436,236","2,954,499","1,715,816","2,264,755","2,135,717","2,539,305","2,456,652","1,619,176","1,065,636","1,370,742","2,832,378","1,773,693","2,519,582","2,368,185","2,766,795","2,693,112","1,915,884","1,624,450"
East North Central Division!!Estimate,2015,"62,192","152,494","283,769","482,963","348,177","273,404","187,766","12,126","4,595","61,017","135,179","202,208","305,926","251,766","230,937","179,721","13,834","5,510","1,650,497","3,573,213","1,967,494","2,455,258","2,452,903","2,826,739","2,824,702","1,866,642","1,151,453","1,576,742","3,442,498","2,026,014","2,691,506","2,628,611","2,978,381","3,029,641","2,112,057","1,704,016"
West North Central Division!!Estimate,2015,"38,247","85,606","147,100","217,908","150,528","118,096","83,211","3,591","1,593","32,159","77,421","110,221","160,043","122,147","104,787","81,881","3,876","2,434","794,630","1,618,685","892,193","1,146,784","1,102,065","1,225,752","1,263,369","830,600","540,229","765,165","1,551,085","902,556","1,209,184","1,130,064","1,262,189","1,318,174","917,221","769,460"
South Atlantic Division!!Estimate,2015,"96,452","292,380","587,263","995,526","747,605","615,995","385,197","30,182","11,185","94,907","271,425","458,959","737,954","628,064","566,846","423,283","38,171","17,622","2,184,860","4,507,929","2,305,322","2,930,766","3,040,711","3,498,150","3,385,557","2,688,148","1,680,345","2,099,023","4,328,205","2,423,382","3,450,608","3,456,765","3,845,233","3,818,267","3,120,775","2,356,505"
East South Central Division!!Estimate,2015,"23,116","63,915","165,245","259,339","200,302","163,897","97,369","4,081","1,085","22,979","58,036","132,394","182,887","157,911","143,379","103,332","3,379","2,095","680,015","1,438,557","729,491","870,876","931,587","1,032,669","1,061,694","789,019","442,649","656,387","1,388,511","769,723","1,038,211","1,054,515","1,136,208","1,173,551","905,362","663,883"
West South Central Division!!Estimate,2015,"105,738","313,008","529,670","785,642","608,112","451,620","275,714","21,214","6,809","105,526","303,436","449,920","682,584","565,090","425,215","301,129","25,504","14,981","1,565,657","3,112,247","1,390,608","1,867,397","1,844,685","1,926,504","1,863,401","1,322,208","777,196","1,491,548","2,977,490","1,438,517","2,058,286","1,998,249","2,074,294","2,014,614","1,517,156","1,101,533"
