"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Tobacco Use"	"Tobacco Use Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"No"	"2"	232134
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1511
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"			249020
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Yes"	"1"	12547
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"No"	"2"	229970
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1397
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"			243914
"Total"	"Division 4: West North Central"	"CENS-D4"					3683187
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Yes"	"1"	14353
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"No"	"2"	131931
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"9"	6388
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Not Reported"	"10"	594359
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"			747031
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Yes"	"1"	41076
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"No"	"2"	440647
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"9"	135527
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Not Reported"	"10"	123369
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"			740619
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Yes"	"1"	48130
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"No"	"2"	534415
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"9"	31174
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Not Reported"	"10"	123840
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"			737559
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Yes"	"1"	53625
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"No"	"2"	610813
