"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"No"	"2"	244143
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Unknown or Not Stated"	"9"	99
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Yes"	"1"	7739
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"No"	"2"	241155
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	"Unknown or Not Stated"	"9"	126
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Yes"	"1"	8363
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"No"	"2"	235433
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"9"	118
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Yes"	"1"	13003
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"No"	"2"	727741
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"9"	6287
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Yes"	"1"	12858
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"No"	"2"	720655
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"9"	7106
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Yes"	"1"	13131
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"No"	"2"	719618
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"9"	4810
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Yes"	"1"	13381
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"No"	"2"	717220
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	"Unknown or Not Stated"	"9"	4395
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Yes"	"1"	13674
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"No"	"2"	730082
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Unknown or Not Stated"	"9"	3786
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Yes"	"1"	14482
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"No"	"2"	736384
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Unknown or Not Stated"	"9"	1257
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Yes"	"1"	15355
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"No"	"2"	732444
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Unknown or Not Stated"	"9"	911
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Yes"	"1"	15926
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"No"	"2"	724156
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Unknown or Not Stated"	"9"	1067
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Yes"	"1"	17181
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"No"	"2"	714278
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Unknown or Not Stated"	"9"	882
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Yes"	"1"	18399
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"No"	"2"	708437
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Unknown or Not Stated"	"9"	684
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Yes"	"1"	20726
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"No"	"2"	683122
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Unknown or Not Stated"	"9"	622
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Yes"	"1"	21327
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"No"	"2"	695996
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Unknown or Not Stated"	"9"	1111
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Yes"	"1"	23464
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"No"	"2"	705837
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Unknown or Not Stated"	"9"	876
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Yes"	"1"	24867
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"No"	"2"	691359
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1287
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Yes"	"1"	5047
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"No"	"2"	230088
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Unknown or Not Stated"	"9"	230
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Yes"	"1"	5442
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"No"	"2"	228568
	"Division 6: East South Central"	"CENS-D6"	"2011"	"2011"	"Unknown or Not Stated"	"9"	162
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Yes"	"1"	5585
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"No"	"2"	227491
	"Division 6: East South Central"	"CENS-D6"	"2012"	"2012"	"Unknown or Not Stated"	"9"	170
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Yes"	"1"	5703
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"No"	"2"	226594
	"Division 6: East South Central"	"CENS-D6"	"2013"	"2013"	"Unknown or Not Stated"	"9"	182
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Yes"	"1"	5976
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"No"	"2"	229819
	"Division 6: East South Central"	"CENS-D6"	"2014"	"2014"	"Unknown or Not Stated"	"9"	135
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Yes"	"1"	5763
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"No"	"2"	229753
	"Division 6: East South Central"	"CENS-D6"	"2015"	"2015"	"Unknown or Not Stated"	"9"	191
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Yes"	"1"	5989
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"No"	"2"	227047
	"Division 6: East South Central"	"CENS-D6"	"2016"	"2016"	"Unknown or Not Stated"	"9"	299
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Yes"	"1"	6814
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"No"	"2"	224979
	"Division 6: East South Central"	"CENS-D6"	"2017"	"2017"	"Unknown or Not Stated"	"9"	273
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Yes"	"1"	7141
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"No"	"2"	222091
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Unknown or Not Stated"	"9"	202
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Yes"	"1"	7757
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"No"	"2"	220848
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Unknown or Not Stated"	"9"	165
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Yes"	"1"	8030
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"No"	"2"	214895
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Unknown or Not Stated"	"9"	552
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Yes"	"1"	9066
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"No"	"2"	217822
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Unknown or Not Stated"	"9"	253
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Yes"	"1"	9732
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"No"	"2"	217517
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Unknown or Not Stated"	"9"	155
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Yes"	"1"	10067
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"No"	"2"	217148
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Unknown or Not Stated"	"9"	107
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Yes"	"1"	6526
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"No"	"2"	533720
