"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Eclampsia"	"Eclampsia Code"	Births
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	"Not Reported"	"10"	57627
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Yes"	"1"	2088
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"No"	"2"	690645
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Unknown or Not Stated"	"9"	1251
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	"Not Reported"	"10"	58139
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Yes"	"1"	2581
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"No"	"2"	687878
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Unknown or Not Stated"	"9"	909
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	"Not Reported"	"10"	57342
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Yes"	"1"	2552
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"No"	"2"	680504
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Unknown or Not Stated"	"9"	1064
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	"Not Reported"	"10"	57029
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Yes"	"1"	1857
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"No"	"2"	672937
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Unknown or Not Stated"	"9"	878
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	"Not Reported"	"10"	56669
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Yes"	"1"	1928
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"No"	"2"	667874
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Unknown or Not Stated"	"9"	680
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	"Not Reported"	"10"	57038
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Yes"	"1"	1136
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"No"	"2"	647013
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Unknown or Not Stated"	"9"	617
	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Not Reported"	"10"	55704
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Yes"	"1"	1203
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"No"	"2"	659002
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Unknown or Not Stated"	"9"	1044
	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Not Reported"	"10"	57185
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Yes"	"1"	1544
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"No"	"2"	727757
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Unknown or Not Stated"	"9"	876
	"Division 5: South Atlantic"	"CENS-D5"	"2022"	"2022"	"Not Reported"	"10"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Yes"	"1"	1323
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"No"	"2"	714903
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1287
	"Division 5: South Atlantic"	"CENS-D5"	"2023"	"2023"	"Not Reported"	"10"	0
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Yes"	"1"	499
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"No"	"2"	99504
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Unknown or Not Stated"	"9"	83
	"Division 6: East South Central"	"CENS-D6"	"2010"	"2010"	"Not Reported"	"10"	135279
