"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Diabetes"	"Diabetes Code"	Births
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Yes"	"1"	15195
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"No"	"2"	214037
	"Division 6: East South Central"	"CENS-D6"	"2018"	"2018"	"Unknown or Not Stated"	"9"	202
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Yes"	"1"	16775
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"No"	"2"	211830
	"Division 6: East South Central"	"CENS-D6"	"2019"	"2019"	"Unknown or Not Stated"	"9"	165
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Yes"	"1"	18185
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"No"	"2"	204740
	"Division 6: East South Central"	"CENS-D6"	"2020"	"2020"	"Unknown or Not Stated"	"9"	552
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Yes"	"1"	19815
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"No"	"2"	207073
	"Division 6: East South Central"	"CENS-D6"	"2021"	"2021"	"Unknown or Not Stated"	"9"	253
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Yes"	"1"	19424
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"No"	"2"	207825
	"Division 6: East South Central"	"CENS-D6"	"2022"	"2022"	"Unknown or Not Stated"	"9"	155
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Yes"	"1"	19993
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"No"	"2"	207222
	"Division 6: East South Central"	"CENS-D6"	"2023"	"2023"	"Unknown or Not Stated"	"9"	107
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Yes"	"1"	22546
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"No"	"2"	517700
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Unknown or Not Stated"	"9"	29
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Yes"	"1"	25203
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"No"	"2"	505109
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Yes"	"1"	26561
