"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	Births
"Total"	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"			249020
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Married"	"1"	157101
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unmarried"	"2"	86785
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Unknown or Not Stated"	"9"	0
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	"Not Reported"	"NR"	28
"Total"	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"			243914
"Total"	"Division 4: West North Central"	"CENS-D4"					3683187
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Married"	"1"	417810
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unmarried"	"2"	329221
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"			747031
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Married"	"1"	416606
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unmarried"	"2"	324013
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"			740619
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Married"	"1"	414622
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unmarried"	"2"	322937
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	"Not Reported"	"NR"	0
