"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"OE Gestational Age 10"	"OE Gestational Age 10 Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"42 weeks or more"	"09"	2049
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"10"	1616
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"			480476
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Under 20 weeks"	"01"	173
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"20 - 27 weeks"	"02"	2989
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"28 - 31 weeks"	"03"	4328
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"32 - 35 weeks"	"04"	20249
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"36 weeks"	"05"	16551
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"37 - 39 weeks"	"06"	281415
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"40 weeks"	"07"	115865
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"41 weeks"	"08"	40169
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"42 weeks or more"	"09"	2066
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"10"	541
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"			484346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Under 20 weeks"	"01"	165
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"20 - 27 weeks"	"02"	2952
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"28 - 31 weeks"	"03"	4306
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"32 - 35 weeks"	"04"	19966
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"36 weeks"	"05"	16430
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"37 - 39 weeks"	"06"	281100
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"40 weeks"	"07"	114080
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"41 weeks"	"08"	39862
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"42 weeks or more"	"09"	2029
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"10"	558
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"			481448
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Under 20 weeks"	"01"	144
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"20 - 27 weeks"	"02"	2844
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"28 - 31 weeks"	"03"	4227
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"32 - 35 weeks"	"04"	19809
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"36 weeks"	"05"	17020
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"37 - 39 weeks"	"06"	281415
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"40 weeks"	"07"	109863
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"41 weeks"	"08"	38647
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"42 weeks or more"	"09"	1804
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"10"	566
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"			476339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Under 20 weeks"	"01"	162
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"20 - 27 weeks"	"02"	2885
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"28 - 31 weeks"	"03"	4168
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"32 - 35 weeks"	"04"	19582
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"36 weeks"	"05"	16392
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"37 - 39 weeks"	"06"	277962
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"40 weeks"	"07"	107108
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"41 weeks"	"08"	38144
